   5.7420D-01  6.0027D-01
   5.7768D-01  6.0489D-01
   5.8116D-01  6.0951D-01
   5.8464D-01  6.1410D-01
   5.8812D-01  6.1869D-01
   5.9160D-01  6.2325D-01
   5.9508D-01  6.2780D-01
   5.9856D-01  6.3234D-01
   6.0204D-01  6.3685D-01
   6.0552D-01  6.4135D-01
   6.0900D-01  6.4583D-01
   6.1248D-01  6.5029D-01
   6.1596D-01  6.5474D-01
   6.1944D-01  6.5916D-01
   6.2292D-01  6.6357D-01
   6.2640D-01  6.6795D-01
   6.2988D-01  6.7232D-01
   6.3336D-01  6.7667D-01
   6.3684D-01  6.8099D-01
   6.4032D-01  6.8529D-01
   6.4380D-01  6.8958D-01
   6.4728D-01  6.9384D-01
   6.5076D-01  6.9808D-01
   6.5424D-01  7.0229D-01
   6.5772D-01  7.0649D-01
   6.6120D-01  7.1066D-01
   6.6468D-01  7.1480D-01
   6.6816D-01  7.1893D-01
   6.7164D-01  7.2303D-01
   6.7512D-01  7.2710D-01
   6.7860D-01  7.3115D-01
   6.8208D-01  7.3518D-01
   6.8556D-01  7.3918D-01
   6.8904D-01  7.4316D-01
   6.9252D-01  7.4710D-01
   6.9600D-01  7.5103D-01
   6.9948D-01  7.5492D-01
   7.0296D-01  7.5879D-01
   7.0644D-01  7.6263D-01
   7.0992D-01  7.6645D-01
   7.1340D-01  7.7024D-01
   7.1688D-01  7.7400D-01
   7.2036D-01  7.7773D-01
   7.2384D-01  7.8143D-01
   7.2732D-01  7.8510D-01
   7.3080D-01  7.8875D-01
   7.3428D-01  7.9236D-01
   7.3776D-01  7.9595D-01
   7.4124D-01  7.9950D-01
   7.4472D-01  8.0303D-01
   7.4820D-01  8.0652D-01
   7.5168D-01  8.0999D-01
   7.5516D-01  8.1342D-01
   7.5864D-01  8.1682D-01
   7.6212D-01  8.2019D-01
   7.6560D-01  8.2353D-01
   7.6908D-01  8.2684D-01
   7.7256D-01  8.3011D-01
   7.7604D-01  8.3335D-01
   7.7952D-01  8.3656D-01
   7.8300D-01  8.3974D-01
   7.8648D-01  8.4288D-01
   7.8996D-01  8.4599D-01
   7.9344D-01  8.4906D-01
   7.9692D-01  8.5211D-01
   8.0040D-01  8.5511D-01
   8.0388D-01  8.5808D-01
   8.0736D-01  8.6102D-01
   8.1084D-01  8.6392D-01
   8.1432D-01  8.6679D-01
   8.1780D-01  8.6962D-01
   8.2128D-01  8.7242D-01
   8.2476D-01  8.7518D-01
   8.2824D-01  8.7790D-01
   8.3172D-01  8.8059D-01
   8.3520D-01  8.8324D-01
   8.3868D-01  8.8586D-01
   8.4216D-01  8.8844D-01
   8.4564D-01  8.9098D-01
   8.4912D-01  8.9348D-01
   8.5260D-01  8.9595D-01
